repo_owner,repo_name,payload_commit_msg,created_at,dummy_column_do_not_delete,Status,commit_link,redirect_link,original_commit,Labels Gustavo,Labels Irineu,Labels Felipe,Consolidated Labels,Latest_404_status,What,Why,Codes,Themes,Secondary Themes,Noteworthy,Certainity,Environment,Bug fix,Level,Languages,Intention ,Repo,author_login,Final Themes,Final conditions,committer_login,Level detailed
okoyono,lord-vetinari-clock,Power saving improved,17/03/2012 12:58:47,,OK,https://github.com/CTHN/Lord-Vetinari-s-Clock/commit/d0d244269b891487056f33c2c35ecff628d1efb2,https://github.com/okoyono/lord-vetinari-clock/commit/d0d244269b891487056f33c2c35ecff628d1efb2,,[OK][Go to Idle],[OK] [Go to idle] [General solution],[DO NOT ANALYZE],[Go to idle] [General solution],EXISTS,[enable CPU idle mode],[improve power saving],[Enable CPU idle mode] [Go to idle] [Enable idle],[Enable device low power mode],,,Certain,Embedded,No,Application,C,Power saving improved,okoyono/lord-vetinari-clock,,[Disabling feature/devices],,,Embedded application !
intervigilium,android_frameworks_base,frameworks/base: Add cpu governor service Increase sampling rate when the display turns off and set it back to the original value when it turns back on. This helps reduce power consumption for use cases such as MP3 playback with the display turned off.,18/03/2012 07:21:44,,NOT-FOUND,https://github.com/intervigilium/android_frameworks_base/commit/d74fbe1d7e68ad5b4d63b9edbbec8127a2516e73,,,,,,,NOT-FOUND-SCRIPT-NOAPI,,,,,,,,,,,,,intervigilium/android_frameworks_base,,,,,
IceColdSandwich,android_packages_apps_Phone,"Phone: Disable accelerometer sensor while in-call and screen UI is off During an active ongoing call, on targets that support proximity sensors, there is an approximate spike in the current waveform in the order of 1 Hz. Krait is woken up frequently by the sensors even when the Screen UI is off while in-call. This fix ensures that by disabling the listener in such a scenario (In-Call + Screen UI turned off) there is no spike in power consumption (cherry picked from commit 6ed01fd5f4637ed2490dcf9ad5f00e465d23d19c) Change-Id: Idc4098ab6b5c8e2198ae5d04d2b0a9c95853bf39 CRs-Fixed: 336244",19/03/2012 21:42:32,,NOT-FOUND,https://github.com/IceColdSandwich/android_packages_apps_Phone/commit/f507b4922d6b0b4ea63bb8dfbdb097c47fbe298a,,,,,,,NOT-FOUND-SCRIPT-NOAPI,,,,,,,,,,,,,IceColdSandwich/android_packages_apps_Phone,,,,,
ThePlayground,android_packages_apps_Phone,"Phone: Disable accelerometer sensor while in-call and screen UI is off During an active ongoing call, on targets that support proximity sensors, there is an approximate spike in the current waveform in the order of 1 Hz. Krait is woken up frequently by the sensors even when the Screen UI is off while in-call. This fix ensures that by disabling the listener in such a scenario (In-Call + Screen UI turned off) there is no spike in power consumption (cherry picked from commit 6ed01fd5f4637ed2490dcf9ad5f00e465d23d19c) Change-Id: Idc4098ab6b5c8e2198ae5d04d2b0a9c95853bf39 CRs-Fixed: 336244",20/03/2012 00:32:58,,DUPLICATE,https://github.com/ThePlayground/android_packages_apps_Phone/commit/e5160c42da58cc698c7b88e20b448b44722a3af1,,,,,,,EXISTS,,,,,,,,,,,,,ThePlayground/android_packages_apps_Phone,,,,LoungeKatt,
ThePlayground,android_frameworks_base,Frameworks/SystemUI: Hide expanded dialog when screen is off Hide the expanded dialog while screen is off. Otherwise it causes continuous buffer updates to SurfaceTexture even when SCREEN is turned off and while In-Call causing a spike in power consumtion. This fix ensures that the power consumption is kept to a minimum in such a scenario. (cherry picked from commit 406e56a8da1e76ef2abb20555470cf8b83dade5f) Change-Id: Id4bc02b71d3d6a4a048ac511b69c19b4cd454b1e CRs-Fixed: 339815,20/03/2012 00:41:14,,OK,https://github.com/ThePlayground/android_frameworks_base/commit/538a512d6b0099ad6b8411d1722f6e097504f044,,,[OK][Reduce Buffer],[OK] [Hide UI] [Android] [Reduce buffer update] [General solution],[DO NOT ANALYZE],[Hide UI] [Android] [Reduce buffer update] [General solution] [Reduce Buffer],EXISTS,[Hide expanded dialog when screen is off],[stop continuous buffer update],[Hide UI when screen off] [Power saving action when screen off],[Disable UI] [Condition: screen off],,,Certain,Android,CRs-Fixed: 339815,OS,Java,This fix ensures that the power consumption is kept to a minimum ,ThePlayground/android_frameworks_base,,[Energy bug],[screen off],LoungeKatt,Software stack
LiquidSmoothROMs,android_packages_apps_Phone,"Phone: Disable accelerometer sensor while in-call and screen UI is off During an active ongoing call, on targets that support proximity sensors, there is an approximate spike in the current waveform in the order of 1 Hz. Krait is woken up frequently by the sensors even when the Screen UI is off while in-call. This fix ensures that by disabling the listener in such a scenario (In-Call + Screen UI turned off) there is no spike in power consumption (cherry picked from commit 6ed01fd5f4637ed2490dcf9ad5f00e465d23d19c) Change-Id: Idc4098ab6b5c8e2198ae5d04d2b0a9c95853bf39 CRs-Fixed: 336244",20/03/2012 04:12:32,,NOT-FOUND,https://github.com/LiquidSmoothROMs/android_packages_apps_Phone/commit/cc33de6b10f466dc529437a6df7479cf760941f3,,,,,,,NOT-FOUND-SCRIPT-NOAPI,,,,,,,,,,,,,LiquidSmoothROMs/android_packages_apps_Phone,,,,,
aospX,platform_packages_apps_Phone,"Phone: Disable accelerometer sensor while in-call and screen UI is off During an active ongoing call, on targets that support proximity sensors, there is an approximate spike in the current waveform in the order of 1 Hz. Krait is woken up frequently by the sensors even when the Screen UI is off while in-call. This fix ensures that by disabling the listener in such a scenario (In-Call + Screen UI turned off) there is no spike in power consumption (cherry picked from commit 6ed01fd5f4637ed2490dcf9ad5f00e465d23d19c) Change-Id: Idc4098ab6b5c8e2198ae5d04d2b0a9c95853bf39 CRs-Fixed: 336244",20/03/2012 19:39:55,,DUPLICATE,https://github.com/aospX/platform_packages_apps_Phone/commit/3fe6aefcf7a982a6962797fe044b709e2c7a283a,,,,,,,EXISTS,,,,,,,,,,,,,aospX/platform_packages_apps_Phone,,,,existz,
charliesome,jsos,save power,23/03/2012 12:11:59,,OK,https://github.com/charliesome/jsos/commit/01e77098604e8b630b6e7a84d22d300688d2919a,,,[OK] [Go to idle],[OK] [Go to idle],[DO NOT ANALYZE],[Go to idle],EXISTS,[Halt kernel],[save power],[Go to idle] [Halt kernel],[Go to low power mode],,,Certain,Javascript,No,OS,Javascript,save power,charliesome/jsos,charliesome,[Low power idling],,charliesome,Kernel
oux,SmartGPSLogger,policy: add first smart (power efficient) policy implementation * src/com/oux/SmartGPSLogger/Constants.java (New file): project constants. * src/com/oux/SmartGPSLogger/Policy.java (New file): unfinished policy implementation. * src/com/oux/SmartGPSLogger/Position.java (New file): manage position and compute distance between two position.,25/03/2012 14:34:21,,RELATED,https://github.com/oux/SmartGPSLogger/commit/e28f447727ca890864a6d5f771b20f4b8bd9aa54,,,[RELATED] [?],[RELATED] [Wake up policy],[DO NOT ANALYZE],[Wake up policy] [?],EXISTS,[Wake up policy] [add smart logger power efficient policy],,,,,,Certain,Android,No,Application,Java,,oux/SmartGPSLogger,jeremy-compostella,,,jeremy-compostella,Application
greg-pe,android_frameworks_base,Frameworks/SystemUI: Hide expanded dialog when screen is off Hide the expanded dialog while screen is off. Otherwise it causes continuous buffer updates to SurfaceTexture even when SCREEN is turned off and while In-Call causing a spike in power consumtion. This fix ensures that the power consumption is kept to a minimum in such a scenario. CRs-Fixed: 339815 Change-Id: Ib9154528d4f88ba12ca234be7f929a61ed098be7,26/03/2012 10:00:36,,DUPLICATE,https://github.com/greg-pe/android_frameworks_base/commit/1d945f5830e5c2a4f9f9a6bd9a33b7bef9c6ba8f,,,,[VERIFIED],,,EXISTS,,,,,,,,,,,,,greg-pe/android_frameworks_base,,,,greg-pe,
elektroschmock,android_packages_apps_Phone,"Phone: Disable accelerometer sensor while in-call and screen UI is off During an active ongoing call, on targets that support proximity sensors, there is an approximate spike in the current waveform in the order of 1 Hz. Krait is woken up frequently by the sensors even when the Screen UI is off while in-call. This fix ensures that by disabling the listener in such a scenario (In-Call + Screen UI turned off) there is no spike in power consumption CRs-Fixed: 336244 Change-Id: I076f4674e8368267393ab181491eaf41239b7b02 Conflicts: src/com/android/phone/PhoneApp.java",26/03/2012 20:50:42,,NOT-FOUND,https://github.com/elektroschmock/android_packages_apps_Phone/commit/3e420fec599b6061bde4be560cb41a20ac04e51b,,,,,,,NOT-FOUND-SCRIPT-NOAPI,,,,,,,,,,,,,elektroschmock/android_packages_apps_Phone,,,,,
Flinny,android_frameworks_base,Frameworks/SystemUI: Hide expanded dialog when screen is off Hide the expanded dialog while screen is off. Otherwise it causes continuous buffer updates to SurfaceTexture even when SCREEN is turned off and while In-Call causing a spike in power consumtion. This fix ensures that the power consumption is kept to a minimum in such a scenario. CRs-Fixed: 339815 Change-Id: Ib9154528d4f88ba12ca234be7f929a61ed098be7,27/03/2012 20:35:21,,NOT-FOUND,https://github.com/Flinny/android_frameworks_base/commit/bc18ac1c47f1ecbea6c9cf0f83d4fe63b044d368,,,,,,,NOT-FOUND-SCRIPT-NOAPI,,,,,,,,,,,,,Flinny/android_frameworks_base,,,,,
TI-OpenLink,wl12xx,wl12xx: change default parameters Change the default parameters to increase the TP. This change may cause a degredation in power consumption. Changes were based on improvments done with Aruba APs based network. Signed-off-by: Yoni Divinsky <yoni.divinsky@ti.com> Signed-off-by: Igal Chernobelsky <igalc@ti.com>,28/03/2012 14:53:19,,TRADEOFF-UNABLE-TO-CATEGORIZE,https://github.com/TI-OpenLink/wl12xx/commit/9b68d5904a146d831908d5302ec3c328e4a199c0,,,[TRADEOFF][?],[TRADEOFF],[DO NOT ANALYZE],[?],EXISTS,,[REVIEW] [Stay up longer],,,,Multiple changes,Uncertain,Linux wifi,No,Driver,C,Change the default parameters to increase the TP. This change may cause a degredation in power consumption.,TI-OpenLink/wl12xx,yonid,,,igalc,Driver net
roalex,cos_packages_apps_Settings,Fix 4560303: Add setting to lock later when power button pressed This adds a feature to delay locking the device when the power button is pressed. This fixes a use case where the user wants to turn off the display (e.g. to save power) but doesn't want to lock the device. Change-Id: I711a81c3e79f7accdc1d9cb217b7806a0b8fcf63,29/03/2012 03:27:54,,FALSE-POSITIVE,https://github.com/roalex/cos_packages_apps_Settings/commit/31052d5150fee2a2be22408c5e9b8e7b859ba5b4,,,[OK][?][Android],[FALSE-POSITIVE],[DO NOT ANALYZE],[?] [Android],EXISTS,,,,,,,,,,,,,roalex/cos_packages_apps_Settings,,,,,
showp1984,bricked-pyramid-3.0,"msm: kgsl: Collect a sample only if GPU is active If the device is not in active state, collecting a sample is not necessary and will cause frequent wake-ups, resulting in higher power consumption. Change-Id: Icb4f82b1300cab3b4cc4ed17117a92725a5a11d4 Signed-off-by: Lynus Vaz <lvaz@codeaurora.org>",29/03/2012 03:35:56,,OK,https://github.com/showp1984/bricked-pyramid-3.0/commit/045915561261cfdd985fe908af46247facc7674d,,,[OK][Avoid Polling],[OK] [Sample only when active] [Avoid unnecessary wake-up] [General solution],[DO NOT ANALYZE],[Sample only when active] [Avoid unnecessary wake-up] [General solution] [Avoid Polling],EXISTS,[Collect a sample only if GPU is active],[causes frequent wakeup] [unnecessary],[Sample only when target is active],[Avoid unnecessary work],,,Certain,Android,No,OS,C,"collecting a sample is not necessary and will cause frequent wakeups, resulting in higher power consumption.",showp1984/bricked-pyramid-3.0,,[Avoid unnecessary work],,showp1984,Driver
simone201,neak-ics-kernel,mmc: core: put eMMC in sleep (cmd5) mode before suspend Put MMC to sleep if it supports SLEEP/AWAKE (CMD5) in the mmc suspend to minimize power consumption. thx to cattleprod,29/03/2012 12:58:29,,DUPLICATE,https://github.com/simone201/neak-ics-kernel/commit/157c47f79714ca7ee082a43fd105dd60e8532585,,,,[VERIFIED] [https://github.com/BobZhome/GingerKernel-thunderc/commit/1a5038d0e9518d572e7e49af148a710fab77b2ad],,[https://github.com/BobZhome/GingerKernel-thunderc/commit/1a5038d0e9518d572e7e49af148a710fab77b2ad],EXISTS,,,,,,,,,,,,,simone201/neak-ics-kernel,simone201,,,simone201,
vorbeth,htc-kernel-msm8660,"msm_fb: display: HDMI power reduction at suspend During suspend, HDMI clocks are still running and power consumption is high. Usually HPD module is kept on even when the cable is not connected to sense the cable re-connect. But cable connect sense is not required when the device is suspended. This change makes sure that HPD, along with other HDMI modules, are totally shutdown during suspend and there is no power consumption by HDMI. (cherry picked from commit 88ad8a7be06a86104169cf2739c18c7d4409dde6) Change-Id: I535645fb489cb89c5450f9caa2ba1823190c7456 CRs-fixed: 335821 Signed-off-by: Ajay Singh Parmar <aparmar@codeaurora.org> Conflicts: drivers/video/msm/msm_fb_panel.h",30/03/2012 22:06:31,,NOT-FOUND,https://github.com/vorbeth/htc-kernel-msm8660/commit/b9af6e2bcba67ac4a0e4870a2c1ea1eacf5b08d2,,,,,,,NOT-FOUND-SCRIPT-NOAPI,,,,,,,,,,,,,vorbeth/htc-kernel-msm8660,,,,,
TeamHorizon,android_packages_apps_Phone,"Phone: Disable accelerometer sensor while in-call and screen UI is off During an active ongoing call, on targets that support proximity sensors, there is an approximate spike in the current waveform in the order of 1 Hz. Krait is woken up frequently by the sensors even when the Screen UI is off while in-call. This fix ensures that by disabling the listener in such a scenario (In-Call + Screen UI turned off) there is no spike in power consumption CRs-Fixed: 336244 Change-Id: I076f4674e8368267393ab181491eaf41239b7b02",31/03/2012 10:49:42,,NOT-FOUND,https://github.com/TeamHorizon/android_packages_apps_Phone/commit/d1de23a75387910be916cc3ccce2b860998a0b6d,,,,,,,NOT-FOUND-SCRIPT-NOAPI,,,,,,,,,,,,,TeamHorizon/android_packages_apps_Phone,,,,,
hawkeyexp,bricked-pyramid-3.0,"msm_fb: display: HDMI power reduction at suspend During suspend, HDMI clocks are still running and power consumption is high. Usually HPD module is kept on even when the cable is not connected to sense the cable re-connect. But cable connect sense is not required when the device is suspended. This change makes sure that HPD, along with other HDMI modules, are totally shutdown during suspend and there is no power consumption by HDMI. (cherry picked from commit 88ad8a7be06a86104169cf2739c18c7d4409dde6) Change-Id: I535645fb489cb89c5450f9caa2ba1823190c7456 CRs-fixed: 335821 Signed-off-by: Ajay Singh Parmar <aparmar@codeaurora.org> Conflicts: drivers/video/msm/msm_fb_panel.h",31/03/2012 13:46:45,,NOT-FOUND,https://github.com/hawkeyexp/bricked-pyramid-3.0/commit/2c3fe30d273ce7416409c7d86ddbb515264b112c,,,,,,,NOT-FOUND-SCRIPT-NOAPI,,,,,,,,,,,,,hawkeyexp/bricked-pyramid-3.0,,,,,
vorbeth,htc-kernel-msm8660,"msm_fb: display: HDMI power reduction at suspend During suspend, HDMI clocks are still running and power consumption is high. Usually HPD module is kept on even when the cable is not connected to sense the cable re-connect. But cable connect sense is not required when the device is suspended. This change makes sure that HPD, along with other HDMI modules, are totally shutdown during suspend and there is no power consumption by HDMI. (cherry picked from commit 88ad8a7be06a86104169cf2739c18c7d4409dde6) Change-Id: I535645fb489cb89c5450f9caa2ba1823190c7456 CRs-fixed: 335821 Signed-off-by: Ajay Singh Parmar <aparmar@codeaurora.org> Conflicts: drivers/video/msm/msm_fb_panel.h",31/03/2012 22:46:41,,NOT-FOUND,https://github.com/vorbeth/htc-kernel-msm8660/commit/c078b4d9eec6b1e41866ee62a340635b3f9f18b5,,,,,,,NOT-FOUND-SCRIPT-NOAPI,,,,,,,,,,,,,vorbeth/htc-kernel-msm8660,,,,,
TripNRaVeR,bricked-pyramid-3.0,"msm_fb: display: HDMI power reduction at suspend During suspend, HDMI clocks are still running and power consumption is high. Usually HPD module is kept on even when the cable is not connected to sense the cable re-connect. But cable connect sense is not required when the device is suspended. This change makes sure that HPD, along with other HDMI modules, are totally shutdown during suspend and there is no power consumption by HDMI. (cherry picked from commit 88ad8a7be06a86104169cf2739c18c7d4409dde6) Change-Id: I535645fb489cb89c5450f9caa2ba1823190c7456 CRs-fixed: 335821 Signed-off-by: Ajay Singh Parmar <aparmar@codeaurora.org> Conflicts: drivers/video/msm/msm_fb_panel.h",01/04/2012 21:20:45,,NOT-FOUND,https://github.com/TripNRaVeR/bricked-pyramid-3.0/commit/87dfa8fa15552c5e4d64487eef14cc84d7ec0fce,,,,,,,NOT-FOUND-SCRIPT-NOAPI,,,,,,,,,,,,,TripNRaVeR/bricked-pyramid-3.0,,,,,
ch33kybutt,kernel_cmplus_tuna,[IVAHD] Disable HWSUP mode and save power Enabling HWSUP mode is somehow reducing the performance of SL2 memory leading to increase in power consumption. This patch disables it and advertises only SWSUP mode which seems to improve performance and reduce power consumed in AV record use-case.,02/04/2012 13:23:49,,OK,https://github.com/ch33kybutt/kernel_cmplus_tuna/commit/342dd821bed948b15c40de7276094e6e011bd379,,,[OK][Disable HWSUP][reducing the performanceof SL2 memory leading to increase in power consumption][??],[OK] [Disable component] [Disabe HWSUP] [Android] [General solution],[DO NOT ANALYZE],[Disable component] [Disabe HWSUP] [Android] [General solution] [Disable HWSUP] [reducing the performanceof SL2 memory leading to increase in power consumption] [??],EXISTS,[Disable HWSUP],[hwsup reduces performance and increases power consumption],[Disable component] [Disabe HWSUP] ,[Disable component],,,Uncertain,Android,No,OS,C,This patch disables it and advertises only SWSUP mode which seems to improve performance and reduce power consumed in AV record use-case.,ch33kybutt/kernel_cmplus_tuna,ch33kybutt,[Disabling feature/devices],,ch33kybutt,Kernel arch
ch33kybutt,kernel_skipjack_tuna,"OMAP4470: TWL: Set CORE off-mode voltage to ""0"" OMAP4470: TWL: Set CORE off-mode voltage to ""0"" Off-mode voltage on CORE domain was increased to RET voltage by mistake. Keeping RET voltage on CORE domain during off-mode increase power consumption up to 0.9 mA. Change-Id: I260347e18d106d1ba60c35a6ffaebb8d17185e1c Signed-off-by: Sergii Postulga <x0153364@ti.com>",04/04/2012 02:43:22,,OK,https://github.com/ch33kybutt/kernel_skipjack_tuna/commit/ba52df5486229823fc56bd90d94f1e45cbbdbb88,,,[OK][Scale Voltage],[OK] [Scale voltage] [Bug fix] [Config] [General solution],[DO NOT ANALYZE],[Scale voltage] [Bug fix] [Config] [General solution],EXISTS,"[Set CORE off-mode voltage to ""0""]",[RET voltage on CORE domain increases power consumption],[Set correct voltage for domain] [Scale down voltage],[DVFS] [Sub1: Voltage scaling],,,Certain,Android,Change-Id: I260347e18d106d1ba60c35a6ffaebb8d17185e1c,OS,C,Keeping RET voltage on CORE domain during off-mode increase power consumption,ch33kybutt/kernel_skipjack_tuna,,[Energy bug],,ch33kybutt,Kernel arch
rkrabath,DigitalAnalog,Playing around with some power savings,04/04/2012 04:13:26,,UNABLE-TO-CATEGORIZE,https://github.com/rkrabath/DigitalAnalog/commit/c4bd283f3742a2ef3c175fcd49097a2bab878c48,,,[OK][Go to idle],[OK] [Go to idle] [General solution],[DO NOT ANALYZE],[Go to idle] [General solution],EXISTS,[Call delay function],[experimenting with power saving],[Skip screen update],?,,,Certain,Embedded !,No,Embedded application,C,Playing around with some power savings,rkrabath/DigitalAnalog,rkrabath,?,,rkrabath,Embedded application !
